,home,away,posesión_home,posesión_away,pases_home,pases_away,disparos_home,disparos_away
102,Mallorca,Getafe,59%,41%,306 of 448 — 68%,55% — 174 of 315,4 of 15 — 27%,0% — 0 of 8
103,Cádiz,Sevilla,34%,66%,204 of 315 — 65%,82% — 492 of 603,5 of 10 — 50%,50% — 10 of 20
104,Betis,Osasuna,51%,49%,381 of 488 — 78%,75% — 354 of 471,2 of 9 — 22%,14% — 1 of 7
105,Rayo Vallecano,Real Sociedad,55%,45%,383 of 488 — 78%,70% — 279 of 396,7 of 16 — 44%,14% — 2 of 14
106,Athletic Club,Valencia,57%,43%,446 of 564 — 79%,72% — 303 of 423,7 of 12 — 58%,36% — 4 of 11
107,Atlético Madrid,Alavés,63%,37%,682 of 774 — 88%,79% — 352 of 448,7 of 11 — 64%,13% — 1 of 8
108,Granada,Villarreal,46%,54%,355 of 451 — 79%,84% — 450 of 537,8 of 18 — 44%,80% — 4 of 5
109,Las Palmas,Atlético Madrid,52%,48%,488 of 583 — 84%,78% — 415 of 533,3 of 9 — 33%,38% — 5 of 13
110,Osasuna,Girona,50%,50%,381 of 478 — 80%,82% — 391 of 475,3 of 15 — 20%,36% — 4 of 11
111,Betis,Mallorca,57%,43%,445 of 527 — 84%,75% — 302 of 403,3 of 22 — 14%,13% — 1 of 8
112,Celta Vigo,Sevilla,39%,61%,287 of 387 — 74%,80% — 485 of 608,3 of 15 — 20%,38% — 5 of 13
113,Real Sociedad,Barcelona,51%,49%,351 of 442 — 79%,84% — 354 of 423,6 of 13 — 46%,33% — 4 of 12
114,Alavés,Almería,56%,44%,296 of 401 — 74%,69% — 213 of 309,3 of 22 — 14%,33% — 3 of 9
115,Valencia,Granada,51%,49%,331 of 444 — 75%,75% — 320 of 428,1 of 10 — 10%,17% — 1 of 6
116,Villarreal,Athletic Club,58%,43%,481 of 575 — 84%,74% — 315 of 425,6 of 17 — 35%,41% — 7 of 17
117,Real Madrid,Rayo Vallecano,63%,37%,501 of 598 — 84%,74% — 259 of 351,5 of 22 — 23%,0% — 0 of 4
118,Getafe,Cádiz,45%,55%,246 of 367 — 67%,71% — 314 of 441,3 of 13 — 23%,33% — 2 of 6
119,Athletic Club,Celta Vigo,58%,42%,434 of 546 — 79%,71% — 288 of 403,11 of 20 — 55%,33% — 4 of 12
120,Rayo Vallecano,Girona,46%,54%,389 of 483 — 81%,85% — 481 of 563,9 of 22 — 41%,32% — 6 of 19
121,Almería,Real Sociedad,47%,53%,225 of 344 — 65%,74% — 291 of 395,2 of 7 — 29%,29% — 5 of 17
122,Osasuna,Las Palmas,46%,54%,338 of 474 — 71%,78% — 438 of 563,3 of 11 — 27%,17% — 1 of 6
123,Granada,Getafe,58%,42%,379 of 520 — 73%,63% — 240 of 379,6 of 12 — 50%,60% — 6 of 10
124,Real Madrid,Valencia,56%,44%,522 of 589 — 89%,84% — 393 of 470,7 of 16 — 44%,40% — 4 of 10
125,Barcelona,Alavés,71%,29%,691 of 793 — 87%,66% — 209 of 317,5 of 10 — 50%,13% — 1 of 8
126,Sevilla,Betis,61%,39%,415 of 528 — 79%,74% — 252 of 341,4 of 13 — 31%,43% — 6 of 14
127,Atlético Madrid,Villarreal,50%,50%,517 of 608 — 85%,88% — 537 of 612,10 of 25 — 40%,64% — 7 of 11
128,Alavés,Granada,43%,57%,284 of 387 — 73%,82% — 420 of 515,5 of 8 — 63%,30% — 3 of 10
