,Fecha,match_id,Día,Local,Visitante,goles_local,goles_visitante,xG_local,xG_visitante,posesión_home,posesión_away,home_shots,home_shots_on_target,home_shot_accuracy,away_shots,away_shots_on_target,away_shot_accuracy,home_passes,home_completed_passes,home_passing_accuracy,away_passes,away_completed_passes,away_passing_accuracy
96,2022-10-19,97,Mié,Elche,Real Madrid,0,3,0.8,1.5,0.38,0.62,10.0,3.0,0.3,10.0,6.0,0.6,469.0,402.0,0.86,770.0,716.0,0.93
97,2022-10-20,98,Jue,Almería,Girona,3,2,1.8,2.8,0.35,0.65,13.0,7.0,0.54,12.0,3.0,0.25,273.0,188.0,0.69,511.0,412.0,0.81
98,2022-10-20,99,Jue,Osasuna,Espanyol,1,0,1.0,1.0,0.64,0.36,17.0,5.0,0.29,5.0,3.0,0.6,552.0,431.0,0.78,316.0,192.0,0.61
99,2022-10-20,100,Jue,Barcelona,Villarreal,3,0,2.1,0.4,0.69,0.31,16.0,5.0,0.31,5.0,1.0,0.2,804.0,740.0,0.92,353.0,295.0,0.84
100,2022-10-22,101,Sáb,Rayo Vallecano,Cádiz,5,1,3.7,0.2,0.62,0.38,27.0,10.0,0.37,3.0,0.0,0.0,495.0,405.0,0.82,305.0,220.0,0.72
101,2022-10-22,102,Sáb,Valladolid,Real Sociedad,1,0,0.8,0.9,0.26,0.74,9.0,2.0,0.22,20.0,2.0,0.1,216.0,121.0,0.56,627.0,528.0,0.84
102,2022-10-22,103,Sáb,Valencia,Mallorca,1,2,1.2,1.5,0.67,0.33,12.0,2.0,0.17,9.0,4.0,0.44,614.0,499.0,0.81,299.0,205.0,0.69
103,2022-10-22,104,Sáb,Real Madrid,Sevilla,3,1,3.0,0.5,0.56,0.44,18.0,6.0,0.33,9.0,2.0,0.22,665.0,599.0,0.9,522.0,446.0,0.85
104,2022-10-23,105,Dom,Espanyol,Elche,2,2,2.2,0.5,0.41,0.59,13.0,5.0,0.38,9.0,4.0,0.44,411.0,323.0,0.79,588.0,500.0,0.85
105,2022-10-23,106,Dom,Betis,Atlético Madrid,1,2,1.4,0.8,0.55,0.45,17.0,4.0,0.24,9.0,3.0,0.33,605.0,506.0,0.84,502.0,409.0,0.81
106,2022-10-23,107,Dom,Girona,Osasuna,1,1,0.4,0.6,0.5,0.5,7.0,1.0,0.14,9.0,2.0,0.22,519.0,412.0,0.79,520.0,426.0,0.82
107,2022-10-23,108,Dom,Villarreal,Almería,2,1,1.0,1.0,0.52,0.48,11.0,5.0,0.45,15.0,4.0,0.27,496.0,394.0,0.79,461.0,361.0,0.78
108,2022-10-23,109,Dom,Barcelona,Athletic Club,4,0,1.4,0.5,0.65,0.35,10.0,7.0,0.7,5.0,1.0,0.2,706.0,626.0,0.89,378.0,294.0,0.78
109,2022-10-24,110,Lun,Celta Vigo,Getafe,1,1,0.7,0.2,0.71,0.29,17.0,5.0,0.29,4.0,1.0,0.25,722.0,602.0,0.83,297.0,190.0,0.64
110,2022-10-28,111,Vie,Mallorca,Espanyol,1,1,1.4,0.3,0.52,0.48,13.0,5.0,0.38,7.0,2.0,0.29,499.0,397.0,0.8,463.0,353.0,0.76
111,2022-10-29,112,Sáb,Almería,Celta Vigo,3,1,2.3,0.3,0.61,0.39,19.0,5.0,0.26,8.0,3.0,0.38,560.0,477.0,0.85,354.0,264.0,0.75
112,2022-10-29,113,Sáb,Cádiz,Atlético Madrid,3,2,1.1,1.3,0.41,0.59,10.0,7.0,0.7,16.0,8.0,0.5,382.0,296.0,0.77,556.0,472.0,0.85
