,home,away,posesión_home,posesión_away,pases_home,pases_away,disparos_home,disparos_away,salvadas_home,salvadas_away
250,Getafe,Alavés,50%,50%,245 of 401 — 61%,63% — 254 of 405,3 of 12 — 25%,43% — 3 of 7,1 of 3 — 33%,33% — 1 of 3
251,Rayo Vallecano,Real Madrid,34%,66%,299 of 379 — 79%,86% — 627 of 730,5 of 19 — 26%,46% — 6 of 13,5 of 6 — 83%,100% — 5 of 5
252,Atlético Madrid,Celta Vigo,36%,64%,294 of 392 — 75%,82% — 573 of 700,6 of 13 — 46%,13% — 2 of 16,2 of 2 — 100%,66% — 4 of 6
253,Villarreal,Espanyol,65%,35%,551 of 660 — 83%,75% — 267 of 354,11 of 19 — 58%,29% — 2 of 7,1 of 2 — 50%,54% — 6 of 11
254,Sevilla,Betis,46%,54%,316 of 428 — 74%,80% — 396 of 498,2 of 11 — 18%,20% — 2 of 10,1 of 2 — 50%,50% — 1 of 2
255,Real Sociedad,Osasuna,58%,42%,502 of 608 — 83%,74% — 332 of 447,5 of 11 — 45%,9% — 1 of 11,1 of 1 — 100%,80% — 4 of 5
256,Barcelona,Athletic Club,71%,29%,749 of 840 — 89%,73% — 252 of 343,7 of 17 — 41%,50% — 3 of 6,3 of 3 — 100%,42% — 3 of 7
257,Granada,Cádiz,37%,63%,256 of 370 — 69%,79% — 491 of 623,1 of 6 — 17%,33% — 4 of 12,4 of 4 — 100%,100% — 1 of 1
258,Mallorca,Real Sociedad,52%,48%,456 of 583 — 78%,79% — 427 of 542,1 of 13 — 8%,23% — 3 of 13,1 of 3 — 33%,100% — 1 of 1
259,Alavés,Sevilla,35%,65%,202 of 338 — 60%,76% — 472 of 625,2 of 14 — 14%,31% — 4 of 13,4 of 4 — 100%,100% — 2 of 2
260,Osasuna,Villarreal,28%,72%,176 of 288 — 61%,84% — 614 of 729,3 of 12 — 25%,10% — 1 of 10,1 of 1 — 100%,66% — 2 of 3
261,Espanyol,Getafe,54%,46%,397 of 523 — 76%,70% — 308 of 440,1 of 4 — 25%,25% — 3 of 12,3 of 3 — 100%,0% — 0 of 1
262,Valencia,Granada,52%,48%,297 of 411 — 72%,64% — 247 of 383,3 of 11 — 27%,0% — 0 of 7,0 of 0 — %,33% — 1 of 3
263,Real Madrid,Real Sociedad,64%,36%,615 of 705 — 87%,81% — 321 of 396,7 of 17 — 41%,% — 0 of 0,0 of 0 — %,57% — 4 of 7
264,Cádiz,Rayo Vallecano,47%,53%,268 of 387 — 69%,77% — 330 of 430,7 of 13 — 54%,21% — 3 of 14,3 of 3 — 100%,71% — 5 of 7
265,Elche,Barcelona,33%,67%,206 of 307 — 67%,84% — 517 of 619,3 of 13 — 23%,37% — 7 of 19,6 of 7 — 85%,66% — 2 of 3
266,Celta Vigo,Mallorca,59%,41%,488 of 595 — 82%,74% — 309 of 419,7 of 15 — 47%,18% — 2 of 11,1 of 2 — 50%,57% — 4 of 7
267,Betis,Atlético Madrid,65%,35%,524 of 627 — 84%,70% — 239 of 343,6 of 18 — 33%,75% — 6 of 8,3 of 6 — 50%,83% — 5 of 6
268,Athletic Club,Levante,50%,50%,400 of 497 — 80%,79% — 395 of 502,7 of 16 — 44%,40% — 2 of 5,1 of 2 — 50%,71% — 5 of 7
269,Atlético Madrid,Cádiz,45%,55%,328 of 415 — 79%,77% — 386 of 499,5 of 6 — 83%,14% — 2 of 14,1 of 2 — 50%,60% — 3 of 5
270,Levante,Espanyol,56%,44%,433 of 539 — 80%,79% — 331 of 420,3 of 14 — 21%,17% — 1 of 6,0 of 1 — 0%,66% — 2 of 3
271,Granada,Elche,57%,43%,431 of 564 — 76%,73% — 311 of 424,4 of 15 — 27%,15% — 2 of 13,1 of 2 — 50%,100% — 4 of 4
272,Villarreal,Celta Vigo,51%,49%,391 of 493 — 79%,78% — 372 of 477,3 of 10 — 30%,8% — 1 of 12,1 of 1 — 100%,66% — 2 of 3
273,Getafe,Valencia,53%,47%,282 of 437 — 65%,66% — 254 of 384,6 of 16 — 38%,0% — 0 of 6,0 of 0 — %,100% — 6 of 6
274,Rayo Vallecano,Sevilla,44%,56%,261 of 381 — 69%,73% — 361 of 494,2 of 10 — 20%,67% — 2 of 3,1 of 2 — 50%,50% — 1 of 2
275,Betis,Athletic Club,51%,49%,382 of 474 — 81%,78% — 359 of 461,5 of 8 — 63%,18% — 2 of 11,2 of 2 — 100%,80% — 4 of 5
276,Real Sociedad,Alavés,59%,41%,389 of 529 — 74%,61% — 224 of 370,5 of 15 — 33%,31% — 4 of 13,4 of 4 — 100%,80% — 4 of 5
277,Barcelona,Osasuna,72%,28%,834 of 920 — 91%,76% — 275 of 360,8 of 23 — 35%,75% — 3 of 4,3 of 3 — 100%,62% — 5 of 8
278,Mallorca,Real Madrid,38%,62%,291 of 375 — 78%,86% — 529 of 615,3 of 14 — 21%,40% — 4 of 10,2 of 4 — 50%,100% — 3 of 3
279,Athletic Club,Getafe,66%,34%,454 of 573 — 79%,63% — 187 of 298,11 of 22 — 50%,25% — 2 of 8,1 of 2 — 50%,90% — 10 of 11
